,PC1,PC2,PC3,PC4,PC5
DR1TKCAL,0.2960281488957015,0.05353333080095854,-0.10150258252596296,-0.2006620146507138,-0.006895776501629372
DR1TPROT,0.2744305482170136,-0.21768748190596282,0.009525526713933204,0.01834896943987186,-0.03534092063735611
DR1TCARB,0.25341044176699745,0.30989161454893116,-0.13997651554695184,-0.13295600989082218,-0.057835990252946015
DR1TSFAT,0.24954917876667804,-0.11889452541927009,-0.23417398140786938,-0.189970018964748,-0.06188484814413905
DR1TMFAT,0.2603000579660418,-0.12512992279496155,-0.022536345851068455,-0.2944031331532584,0.0786448327491637
DR1TPFAT,0.22493152618127588,-0.05114575542437735,0.11481121517069211,-0.34363381421318107,0.2127411393221818
DR1TCHOL,0.18359902975434786,-0.31668365727988523,-0.10336832727190491,-0.0520420323190549,0.21062316985360555
DR1TFIBE,0.21705614846906285,0.21267198024997738,0.32710079977433204,0.049727269701927784,-0.24393938998761325
DR1TSUGR,0.17969294962996776,0.3527909246111567,-0.3359477670637619,-0.09574265117164028,0.16970357864813548
DR1TCALC,0.23038281672796346,0.00883502143488018,-0.15384873836119523,0.17783970943909222,-0.14238807793898045
DR1TVARA,0.1549714620376068,0.03928941910991124,0.00481939241270302,0.3699453655108454,0.3028009710949552
DR1TVB12,0.15255498489989702,-0.11900409904289752,-0.1833920189320509,0.33427437618995126,0.07015926549191964
DR1TVC,0.1157121085195096,0.25953492166316955,0.12713391915807984,0.16430466911929667,0.28970634129571854
DR1TVD,0.13362074553161432,-0.07687030194277861,-0.14161491503681892,0.34290448184440603,0.06096874191353332
DR1TVK,0.08350992034242415,0.07728203341103683,0.27580699981517104,0.1626529990959843,0.4726040981462647
DR1TMAGN,0.2627519828988138,0.08318120614637521,0.2071672956116836,0.08856526599364856,-0.076344558699243
DR1TPOTA,0.2719272699868238,0.08953202277689044,0.13489646952185863,0.10903654712260033,0.053249969849405734
DR1TSODI,0.2611116455806687,-0.10027343213177542,0.016977972424065912,-0.1369010344125223,-0.0691260882256626
DR1TIRON,0.2385409664428677,0.08831242726627372,0.01741773410514994,0.13439936046295425,-0.19170337104807347
DR1TZINC,0.22355047103813958,-0.13466264509698836,-0.06355203292617094,0.14921340672570887,-0.12630349942079774
pct_DR1TPROT,0.00964406008600123,-0.35785415064796583,0.1286892351726966,0.3088207972962403,-0.05385719473637733
pct_DR1TCARB,-0.06074064121693607,0.5239773754140692,-0.07764454916282165,0.14708640943807758,-0.14905813854527908
plant_fat_ratio,-0.005508223804680343,0.04394044661272583,0.4357892677144421,-0.19864030256927384,0.3307818403185336
fiber_diversity_proxy,0.1366268037765935,-0.028907613933229038,0.4723186785119223,-0.0006048457781163011,-0.4229061396994895
