,0
DR1TCALC,0.07465191046297379
pct_DR1TCARB,0.06790614212825613
DR1TPOTA,0.0616177556515866
DR1TSUGR,0.06105180191411306
DR1TVK,0.05813562396739114
DR1TMAGN,0.05479509746688813
DR1TCHOL,0.05063282432391537
DR1TVARA,0.0412972523483252
DR1TVC,0.040325244537531224
plant_fat_ratio,0.04017181554327765
DR1TSFAT,0.03934655761690546
fiber_diversity_proxy,0.03856652420889001
pct_DR1TPROT,0.03848545659724
DR1TVD,0.03779378987497026
DR1TSODI,0.03445917899889213
DR1TFIBE,0.033701628880496874
DR1TVB12,0.03235785534087692
DR1TCARB,0.030966897384683355
DR1TIRON,0.03070004178237714
DR1TPFAT,0.029023355430125478
DR1TPROT,0.027275212710615903
DR1TKCAL,0.02632719229384593
DR1TZINC,0.02622897337765444
DR1TMFAT,0.024181867158167787
